ID,Size,Amplitude,Time,Wrong,Device
Ryan, 0.9, 1.5, 1.313095, 0, mouse
Ryan, 0.9, 1.5, 0.5629079, 1, mouse
Ryan, 0.9, 1.5, 0.3177742, 0, mouse
Ryan, 0.9, 1.5, 0.8453773, 1, mouse
Ryan, 0.9, 1.5, 0.4089068, 0, mouse
Ryan, 0.9, 1.5, 0.4851544, 0, mouse
Ryan, 0.9, 1.5, 0.6003828, 0, mouse
Ryan, 0.9, 1.5, 0.4262465, 0, mouse
Ryan, 0.9, 1.5, 0.4907949, 0, mouse
Ryan, 0.9, 1.5, 0.4674318, 0, mouse
Ryan, 0.9, 1.5, 0.5413045, 0, mouse
Ryan, 0.6, 1.5, 0.5204192, 0, mouse
Ryan, 0.6, 1.5, 1.702226, 0, mouse
Ryan, 0.6, 1.5, 1.351996, 0, mouse
Ryan, 0.6, 1.5, 0.7012888, 0, mouse
Ryan, 0.6, 1.5, 0.7912688, 0, mouse
Ryan, 0.6, 1.5, 0.6804484, 0, mouse
Ryan, 0.6, 1.5, 0.7788713, 0, mouse
Ryan, 0.6, 1.5, 0.6070538, 0, mouse
Ryan, 0.6, 1.5, 0.457687, 1, mouse
Ryan, 0.6, 1.5, 0.3103089, 0, mouse
Ryan, 0.6, 1.5, 0.536778, 0, mouse
Ryan, 0.3, 1.5, 0.5893899, 0, mouse
Ryan, 0.3, 1.5, 0.8380893, 0, mouse
Ryan, 0.3, 1.5, 0.8177298, 0, mouse
Ryan, 0.3, 1.5, 0.7048902, 0, mouse
Ryan, 0.3, 1.5, 0.5828615, 0, mouse
Ryan, 0.3, 1.5, 0.8737328, 0, mouse
Ryan, 0.3, 1.5, 0.6493943, 0, mouse
Ryan, 0.3, 1.5, 0.8700681, 0, mouse
Ryan, 0.3, 1.5, 0.6439194, 0, mouse
Ryan, 0.3, 1.5, 0.6929447, 0, mouse
Ryan, 0.9, 3, 0.8696011, 0, mouse
Ryan, 0.9, 3, 0.8989778, 0, mouse
Ryan, 0.9, 3, 0.6479673, 0, mouse
Ryan, 0.9, 3, 0.7530549, 0, mouse
Ryan, 0.9, 3, 0.5035336, 0, mouse
Ryan, 0.9, 3, 0.6048279, 0, mouse
Ryan, 0.9, 3, 0.4586827, 0, mouse
Ryan, 0.9, 3, 0.5761936, 0, mouse
Ryan, 0.9, 3, 0.7050595, 0, mouse
Ryan, 0.9, 3, 0.5620527, 0, mouse
Ryan, 0.6, 3, 0.6853147, 0, mouse
Ryan, 0.6, 3, 1.043553, 0, mouse
Ryan, 0.6, 3, 0.7121638, 0, mouse
Ryan, 0.6, 3, 0.5883922, 0, mouse
Ryan, 0.6, 3, 0.572084, 0, mouse
